"commit","subject","status","files"
"ed62d0be3ecc27f5404068a1b9f9428f04f29e23","Registered Operative (#9809)","needs-review","src/main/java/com/simibubi/create/content/contraptions/MountedStorageManager.java;src/main/java/com/simibubi/create/content/equipment/clipboard/ClipboardBlockEntity.java"
"9942939a75b6021c680741389310750e0c33f753","Crashproof Bludgeon (#9803)","needs-review","src/main/java/com/simibubi/create/content/kinetics/RotationPropagator.java"
"f0baf0d93c98979a06dd8aa9344b4d3e9bba3978","Principle of Postbox Preservation (#9802)","needs-review","src/main/java/com/simibubi/create/content/logistics/packagePort/postbox/PostboxBlockEntity.java"
"3f8051928c32fac815c5b8515c7ee0b37f1aa933","Mechanical Magic (#9800)","needs-review","build.gradle;log4j2_confs/better_colors.xml;src/main/java/com/simibubi/create/content/kinetics/deployer/DeployerHandler.java;src/main/java/com/simibubi/create/infrastructure/gametest/CreateGameTests.java;src/main/java/com/simibubi/create/infrastructure/gametest/tests/TestRegressions.java;src/main/resources/data/create/structure/gametest/regressions/issue9615_efficient_deployers.nbt"
"08484d4937ffbe3c2823a6c111c0ff8756747667","Rascally Recipes (#9801)","needs-review","src/generated/resources/.cache/af1b4964b4b67530aeb67585e9573385e8cab38a;src/generated/resources/.cache/eaed56ca9d9781c7626be345dd9f2c9a1fad638e;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_copper_shingle_slab.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_copper_shingle_slab_from_waxed_copper_shingles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_copper_shingle_stairs.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_copper_shingle_stairs_from_waxed_copper_shingles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_copper_tile_slab.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_copper_tile_slab_from_waxed_copper_tiles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_copper_tile_stairs.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_copper_tile_stairs_from_waxed_copper_tiles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_exposed_copper_shingle_slab.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_exposed_copper_shingle_slab_from_waxed_exposed_copper_shingles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_exposed_copper_shingle_stairs.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_exposed_copper_shingle_stairs_from_waxed_exposed_copper_shingles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_exposed_copper_tile_slab.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_exposed_copper_tile_slab_from_waxed_exposed_copper_tiles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_exposed_copper_tile_stairs.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_exposed_copper_tile_stairs_from_waxed_exposed_copper_tiles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_oxidized_copper_shingle_slab.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_oxidized_copper_shingle_slab_from_waxed_oxidized_copper_shingles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_oxidized_copper_shingle_stairs.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_oxidized_copper_shingle_stairs_from_waxed_oxidized_copper_shingles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_oxidized_copper_tile_slab.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_oxidized_copper_tile_slab_from_waxed_oxidized_copper_tiles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_oxidized_copper_tile_stairs.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_oxidized_copper_tile_stairs_from_waxed_oxidized_copper_tiles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_weathered_copper_shingle_slab.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_weathered_copper_shingle_slab_from_waxed_weathered_copper_shingles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_weathered_copper_shingle_stairs.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_weathered_copper_shingle_stairs_from_waxed_weathered_copper_shingles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_weathered_copper_tile_slab.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_weathered_copper_tile_slab_from_waxed_weathered_copper_tiles_stonecutting.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_weathered_copper_tile_stairs.json;src/generated/resources/data/create/advancement/recipes/building_blocks/waxed_weathered_copper_tile_stairs_from_waxed_weathered_copper_tiles_stonecutting.json;src/generated/resources/data/create/create/potato_projectile/type/pufferfish.json;src/generated/resources/data/create/recipe/waxed_copper_shingle_slab.json;src/generated/resources/data/create/recipe/waxed_copper_shingle_slab_from_waxed_copper_shingles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_copper_shingle_stairs.json;src/generated/resources/data/create/recipe/waxed_copper_shingle_stairs_from_waxed_copper_shingles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_copper_tile_slab.json;src/generated/resources/data/create/recipe/waxed_copper_tile_slab_from_waxed_copper_tiles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_copper_tile_stairs.json;src/generated/resources/data/create/recipe/waxed_copper_tile_stairs_from_waxed_copper_tiles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_exposed_copper_shingle_slab.json;src/generated/resources/data/create/recipe/waxed_exposed_copper_shingle_slab_from_waxed_exposed_copper_shingles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_exposed_copper_shingle_stairs.json;src/generated/resources/data/create/recipe/waxed_exposed_copper_shingle_stairs_from_waxed_exposed_copper_shingles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_exposed_copper_tile_slab.json;src/generated/resources/data/create/recipe/waxed_exposed_copper_tile_slab_from_waxed_exposed_copper_tiles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_exposed_copper_tile_stairs.json;src/generated/resources/data/create/recipe/waxed_exposed_copper_tile_stairs_from_waxed_exposed_copper_tiles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_oxidized_copper_shingle_slab.json;src/generated/resources/data/create/recipe/waxed_oxidized_copper_shingle_slab_from_waxed_oxidized_copper_shingles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_oxidized_copper_shingle_stairs.json;src/generated/resources/data/create/recipe/waxed_oxidized_copper_shingle_stairs_from_waxed_oxidized_copper_shingles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_oxidized_copper_tile_slab.json;src/generated/resources/data/create/recipe/waxed_oxidized_copper_tile_slab_from_waxed_oxidized_copper_tiles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_oxidized_copper_tile_stairs.json;src/generated/resources/data/create/recipe/waxed_oxidized_copper_tile_stairs_from_waxed_oxidized_copper_tiles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_weathered_copper_shingle_slab.json;src/generated/resources/data/create/recipe/waxed_weathered_copper_shingle_slab_from_waxed_weathered_copper_shingles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_weathered_copper_shingle_stairs.json;src/generated/resources/data/create/recipe/waxed_weathered_copper_shingle_stairs_from_waxed_weathered_copper_shingles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_weathered_copper_tile_slab.json;src/generated/resources/data/create/recipe/waxed_weathered_copper_tile_slab_from_waxed_weathered_copper_tiles_stonecutting.json;src/generated/resources/data/create/recipe/waxed_weathered_copper_tile_stairs.json;src/generated/resources/data/create/recipe/waxed_weathered_copper_tile_stairs_from_waxed_weathered_copper_tiles_stonecutting.json;src/main/java/com/simibubi/create/foundation/block/CopperBlockSet.java"
"5288372891bd35b603a2dcf74fd880f1761a0006","The missing train","needs-review","src/main/java/com/simibubi/create/content/trains/station/StationBlockEntity.java"
"84dd4500125ab793fac93d72f4391e36b0193cff","Setting some limits","needs-review","src/main/java/com/simibubi/create/content/trains/station/StationBlockEntity.java;src/main/java/com/simibubi/create/infrastructure/config/CTrains.java"
"abfa0053722c15093f09c90ebce9ed27445c26a3","Removed and Removed","needs-review","src/main/java/com/simibubi/create/foundation/virtualWorld/VirtualRenderWorld.java"
"645a014554b859fd0d00b6f1e8d395eddc013126","Move log4j config","needs-review","build.gradle;log4j.xml;log4j2_confs/better_colors.xml"
"f2a0e5931ea5b62d7d6d5846752bc95c8adb4bd6","Contraption collision optimization","needs-review","src/main/java/com/simibubi/create/content/contraptions/ContraptionCollider.java;src/main/java/com/simibubi/create/foundation/collision/CollisionList.java;src/main/java/com/simibubi/create/foundation/collision/ContinuousOBBCollider.java;src/main/java/com/simibubi/create/foundation/collision/Matrix3d.java;src/main/java/com/simibubi/create/foundation/collision/OrientedBB.java"
